Energy,Spin,Parity
0.,5,1
72.,4,1
102,4,1
137,3,-1
308,4,1
418,4,1
454,4,1
510,8,-1
582,1,1
632,4,1
651,4,1
664,3,-1
728,4,-1
782,5,1
832,1,-1
848,5,-1
884,4,1
901,5,-1
986,2,1
1033,3,1
1063,5,-1
1063,6,1
1102,5,-1
1102,5,1
1102,6,-1
1158,2,1
1186,2,1
1186,3,-1
1262,2,1
1262,8,1
1325,4,1
1353,,
1412,2,1
1412,3,-1
1456,4,1
1484,4,1
1511,5,-1
1530,3,1
1550,4,-1
1550,5,-1
1611,4,-1
1611,5,-1
1639,4,1
1663,4,1
1663,5,-1
1692,5,-1
1720,4,1
1741,3,1
1741,3,-1
1751,4,1
1772,5,-1
1811,,
1800,4,1
1850,4,1
1879,4,1
1899,3,-1
1928,3,-1
1928,4,1
1975,4,-1
1975,5,-1
1993,4,-1
1993,5,-1
2012,5,-1
2012,6,1
2063,,
2083,3,-1
2108,5,-1
2108,5,1
2118,5,-1
2155,3,-1
2155,4,1
2202,3,-1
2218,3,-1
2235,3,-1
2256,3,-1
2268,3,-1
2290,1,1
2290,2,1
2300,2,1
2312,, 
2331,,
2356,3,-1
2356,3,1
2368,1,1
2368,2,1
2384,,
2408,5,1
2408,5,-1
2422,,
2451,1,1
2451,2,-1
2502,1,-1
2502,1,1
2502,2,-1
2511,1,-1
2511,2,1
2536,1,-1
2536,2,1
2555,1,1
2555,2,1



















